id,date,rxl,cid,lac,rnc
27963,1259994614246,-93,16537,27,0
27964,1259994614577,-93,16537,27,0
27965,1259994614917,-93,16537,27,0
27966,1259994615246,-93,16537,27,0
27967,1259994615586,-93,16537,27,0
27968,1259994616058,-93,16537,27,0
27969,1259994616257,-93,16537,27,0
27970,1259994616586,-93,16537,27,0
27971,1259994616926,-93,16537,27,0
27972,1259994617257,-93,16537,27,0
27973,1259994617597,-93,16537,27,0
27974,1259994617926,-93,16537,27,0
27975,1259994618266,-93,16537,27,0
27976,1259994618597,-93,16537,27,0
27977,1259994618936,-93,16537,27,0
27978,1259994619266,-93,16537,27,0
27979,1259994619606,-93,16537,27,0
27980,1259994619936,-93,16537,27,0
27981,1259994620277,-93,16537,27,0
27982,1259994620606,-93,16537,27,0
27983,1259994620936,-93,16537,27,0
27984,1259994621274,-93,16537,27,0
27985,1259994621616,-93,16537,27,0
27986,1259994621947,-93,16537,27,0
27987,1259994622286,-93,16537,27,0
27988,1259994622616,-93,16537,27,0
27989,1259994622956,-93,16537,27,0
27990,1259994623512,-93,16537,27,0
27991,1259994623626,-93,16537,27,0
27992,1259994623956,-93,16537,27,0
27993,1259994624297,-93,16537,27,0
27994,1259994624626,-93,16537,27,0
27995,1259994624957,-93,16537,27,0
27996,1259994625296,-93,16537,27,0
27997,1259994625636,-93,16537,27,0
27998,1259994625966,-93,16537,27,0
27999,1259994626306,-93,16537,27,0
28000,1259994626636,-93,16537,27,0
28001,1259994626976,-93,16537,27,0
28002,1259994627306,-93,16537,27,0
28003,1259994627646,-93,16537,27,0
28004,1259994627976,-93,16537,27,0
28005,1259994628316,-93,16537,27,0
28006,1259994628643,-93,16537,27,0
28007,1259994628986,-93,16537,27,0
28008,1259994629316,-93,16537,27,0
28009,1259994629658,-93,16537,27,0
28010,1259994629986,-93,16537,27,0
28011,1259994630326,-93,16537,27,0
28012,1259994630658,-93,16537,27,0
28013,1259994630986,-93,16537,27,0
28014,1259994631326,-93,16537,27,0
28015,1259994631659,-93,16537,27,0
28016,1259994631996,-93,16537,27,0
28017,1259994632337,-93,16537,27,0
28018,1259994632668,-93,16537,27,0
28019,1259994632996,-93,16537,27,0
28020,1259994633337,-93,16537,27,0
28021,1259994633706,-93,16537,27,0
28022,1259994634006,-93,16537,27,0
28023,1259994634336,-93,16537,27,0
28024,1259994634701,-93,16537,27,0
28025,1259994635006,-93,16537,27,0
28026,1259994635336,-93,16537,27,0
28027,1259994635701,-93,16537,27,0
28028,1259994636006,-93,16537,27,0
